Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
Non-Verbal Reasoning,easy,Which shape has the MOST sides: triangle / square / pentagon / hexagon?,Triangle,Square,Pentagon,Hexagon,Hexagon,Count the sides of each shape carefully: tri=3 / quad=4 / pent=5 / hex=6.,POLYGON SIDES: Triangle=3 / Square=4 / Pentagon=5 / Hexagon=6 / Heptagon=7 / Octagon=8. The prefix tells you the number: tri=3 quad=4 pent=5 hex=6 hept=7 oct=8.,Shape Properties
Non-Verbal Reasoning,easy,"A square is rotated 90° clockwise. How does it look?",Wider rectangle,Same square,Taller rectangle,Diamond,Same square,A square has equal sides and equal angles. What happens when you rotate it?,ROTATION: A SQUARE looks identical after 90° rotation because all four sides are equal and all angles are 90°. Shapes with rotational symmetry look the same at certain angles.,Rotation
Non-Verbal Reasoning,easy,How many lines of symmetry does a rectangle have?,1,2,3,4,2,A line of symmetry folds the shape so both halves match perfectly. Try folding horizontally and vertically.,LINES OF SYMMETRY: Rectangle has 2 (horizontal and vertical midlines — NOT the diagonals). Square has 4. Circle has infinite. Equilateral triangle has 3. Isosceles triangle has 1.,Symmetry
Non-Verbal Reasoning,easy,"A sequence: small circle, medium circle, large circle, ___. What comes next?",Small circle,Medium circle,Extra large circle,Square,Extra large circle,The circles are getting bigger with each step. What is the pattern?,SIZE SEQUENCES: Each term is larger than the previous by one size step. Small→Medium→Large→Extra Large. Identify whether the pattern is size / number / rotation / shading.,Sequences
Non-Verbal Reasoning,easy,Which is the ODD ONE OUT: shapes where all sides are equal? Triangle(equal sides) Square Pentagon(equal sides) Rectangle,Triangle,Square,Pentagon,Rectangle,Rectangle,Three shapes can have all equal sides. Which one NEVER can?,REGULAR POLYGONS have all sides equal and all angles equal. Triangle(equilateral) Square Pentagon(regular) can all have equal sides. A RECTANGLE has two pairs of equal sides — but adjacent sides differ.,Odd One Out
Non-Verbal Reasoning,easy,How many faces does a CUBE have?,4,6,8,12,6,Think of a dice — how many different numbered faces does it have?,3D SHAPES — CUBE: 6 faces (all squares) / 12 edges / 8 vertices. Cuboid: 6 faces. Tetrahedron: 4 faces. Sphere: 1 curved face. Count: top bottom front back left right = 6.,3D Shapes
Non-Verbal Reasoning,easy,"A shape is reflected in a VERTICAL mirror line. What happens to: top-left corner?",Moves to bottom-left,Moves to top-right,Moves to bottom-right,Stays the same,Moves to top-right,A vertical mirror line flips left and right. Top stays top. Left becomes right.,REFLECTION in vertical line: Left↔Right flip. Top/bottom stays the same. A top-LEFT point becomes top-RIGHT. Check each corner individually when solving reflection problems.,Reflection
Non-Verbal Reasoning,easy,A shape has 4 equal sides and 4 right angles. What is it?,Rectangle,Rhombus,Square,Parallelogram,Square,A shape with 4 equal sides AND 4 right angles has a specific name — not just a rectangle.,QUADRILATERALS: Square = 4 equal sides + 4 right angles. Rectangle = 2 pairs equal sides + 4 right angles. Rhombus = 4 equal sides but NO right angles. Parallelogram = 2 pairs equal sides + no right angles.,Shape Properties
Non-Verbal Reasoning,easy,"Count the triangles in a shape divided into 4 equal triangles by its diagonals — how many triangles total?",4,6,8,5,8,Count the 4 small triangles AND the larger triangles formed by combining them.,COUNTING SHAPES: Small triangles=4. Pairs making medium triangles: top+left / top+right / bottom+left / bottom+right = 4 medium. All four together=? That's only one large shape. Total: 4+4=8 triangles.,Counting Shapes
Non-Verbal Reasoning,easy,"An arrow points NORTH. It rotates 180°. Which direction does it now point?",North,East,South,West,South,180° is half a full turn. North is at the top — what is directly opposite?,ROTATION: 90° clockwise = quarter turn. 180° = half turn (North→South / East→West). 270° clockwise = three-quarter turn. 360° = full turn back to start.,Rotation
