Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
Verbal Reasoning,easy,HOT is to COLD as DAY is to ___,Sun,Night,Warm,Light,Night,HOT and COLD are opposites. Find the opposite of DAY.,ANALOGIES: Identify the relationship. HOT→COLD = antonyms (opposites). So DAY→? must also be an antonym. DAY↔NIGHT. Types: synonyms / antonyms / category / function / degree.,Analogies
Verbal Reasoning,easy,Which word does NOT belong: cat dog hamster eagle fish?,cat,dog,hamster,eagle,eagle,Think about what all the other words have in common. What makes one of them different?,ODD ONE OUT: cat/dog/hamster/fish are all common household PETS. Eagle is a wild bird — not typically kept as a pet. Find the category that fits the majority.,Odd One Out
Verbal Reasoning,easy,"What is the missing number: 2, 4, 6, 8, ___?",9,10,12,11,10,These numbers increase by the same amount each time. Find the rule.,NUMBER SEQUENCES: 2 4 6 8 10 — even numbers / adding 2 each time. Always find the DIFFERENCE between consecutive terms to establish the rule.,Number Sequences
Verbal Reasoning,easy,Find the hidden word in: GRANDFATHER,and,ran,far,the,and,A hidden word uses consecutive letters from inside a longer word. Work through systematically.,HIDDEN WORDS: scan the letters in order for 3-letter words: GRA-NDfath-er. 'and' appears in grANDfather. Method: cover letters from left then right to find hidden words.,Hidden Words
Verbal Reasoning,easy,BOOK is to READ as FORK is to ___,Cook,Eat,Kitchen,Knife,Eat,What do you DO with a book? Now what do you DO with a fork?,ANALOGIES — Function type: A book is used TO READ. A fork is used TO EAT. Find the action/purpose relationship. BOOK:READ = FORK:EAT.,Analogies
Verbal Reasoning,easy,Which word is the ODD ONE OUT: happy glad joyful sad elated?,glad,elated,joyful,sad,sad,Four of these words mean similar things. Which one means something different?,SYNONYMS vs ANTONYMS: happy/glad/joyful/elated are all synonyms meaning feeling good. SAD is the antonym — opposite meaning. Odd one out = different category/meaning.,Odd One Out
Verbal Reasoning,easy,"Move ONE letter from the first word to the second to make two new words: BRAND → ___ + ___ RAN",b,d,a,n,b,Removing one letter from BRAND makes a new word. That removed letter goes before RAN.,LETTER TRANSFER: BRAND − B = RAND (not a word). BRAND − R = BAND ✓. Then B + RAN = BRAN ✓. Answer: Remove R to make BAND and BRAN. Check BOTH words are valid.,Word Building
Verbal Reasoning,easy,"Find the missing letters: AB CD EF GH ___",HI,IJ,IK,JK,IJ,These are pairs of consecutive letters of the alphabet. What pair comes after GH?,LETTER SEQUENCES: AB(1-2) CD(3-4) EF(5-6) GH(7-8) IJ(9-10). Each pair advances 2 positions in the alphabet. Memorise alphabet positions for speed.,Letter Sequences
Verbal Reasoning,easy,LARGE is to SMALL as HEAVY is to ___,Big,Light,Weight,Thin,Light,LARGE and SMALL are opposites. Find the opposite of HEAVY.,ANTONYM ANALOGIES: Large↔Small (size opposites). Heavy↔Light (weight opposites). These are degree/scale opposites.,Analogies
Verbal Reasoning,easy,"Which word contains a smaller word meaning 'to look'?: SEARCHING FINDING SEEKING GLANCING",FINDING,SEEKING,SEARCHING,GLANCING,SEARCHING,Find a 3-4 letter word meaning 'to look' hidden inside each option.,HIDDEN WORDS with meaning: SEARCHING contains 'SEE' (no)... contains 'EAR'... GLANCING contains 'LANCE'. SEEKING contains 'SEE' — a word meaning to look! SEEking.,Hidden Words
Verbal Reasoning,easy,"What is the RULE: AZ BY CX DW ___?",EV,EU,FV,EW,EV,Look at both letters together. The first goes forward through the alphabet; the second goes backward.,LETTER PATTERNS — two rules at once: First letters A B C D E (going forwards). Second letters Z Y X W V (going backwards). Next pair: EV.,Letter Sequences
Verbal Reasoning,easy,Complete the word: S_N_T_R (clue: a person who makes laws),Senator,Sanitor,Sunstar,Sonatar,Senator,This is a person in government — think of American or Roman government.,WORD COMPLETION: S_N_T_R = SENATOR (a member of a senate / lawmaking body). Techniques: try common vowels (A E I O U) in each gap systematically.,Vocabulary
Verbal Reasoning,easy,BIRD is to FLOCK as FISH is to ___,Pack,Herd,Shoal,Colony,Shoal,A group of birds is a flock. What is the special word for a group of fish?,COLLECTIVE NOUNS: Flock of birds/sheep. Shoal/school of fish. Herd of cattle. Pack of wolves. Pride of lions. Pod of whales. Learn these by category.,Collective Nouns
Verbal Reasoning,easy,"Find the word that can follow all three: FOOT BASKET HAND",print,ball,stand,made,ball,Which word can attach to the end of ALL THREE words to make compound words?,COMPOUND WORDS: FOOTball ✓ BASKETball ✓ HANDball ✓. Test each option with all three words. Compound words are formed by joining two words together.,Compound Words
Verbal Reasoning,easy,Which word is MOST SIMILAR in meaning to COURAGEOUS?,Timid,Cowardly,Brave,Fearful,Brave,Think of a person running into danger to help others. What one word describes them?,SYNONYMS for COURAGEOUS: Brave/Bold/Fearless/Valiant/Heroic/Daring. Antonyms: Timid/Cowardly/Fearful/Craven.,Synonyms
