Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
English,easy,Which word means the same as HAPPY?,Sad,Joyful,Angry,Tired,Joyful,Think about a feeling that is positive and bright.,SYNONYMS are words with similar meanings. HAPPY = Joyful/Cheerful/Delighted/Content. Antonyms (opposites) include Sad/Miserable/Unhappy.,Synonyms
English,easy,Which word means the OPPOSITE of FAST?,Quick,Speedy,Slow,Swift,Slow,The opposite word should describe something that does not move quickly.,ANTONYMS are words with opposite meanings. FAST opposites: Slow/Sluggish/Gradual. Fast synonyms: Quick/Swift/Rapid/Speedy.,Antonyms
English,easy,Which word is a NOUN?,Run,Blue,Happiness,Quickly,Happiness,A noun is a naming word — a person place or thing or feeling.,NOUNS name people (teacher) places (London) things (book) or ideas/feelings (happiness). VERBS are action words. ADJECTIVES describe nouns.,Word Classes
English,easy,Choose the correct spelling.,Freind,Friend,Freind,Frend,Friend,Remember the rule: i before e except after c.,SPELLING RULE: 'i before e except after c' — Friend (i before e). Exceptions: weird receive ceiling. Always check: does it look right?,Spelling
English,easy,Which word is an ADJECTIVE?,Swim,Quickly,Enormous,Ran,Enormous,An adjective is a describing word — it tells you more about a noun.,ADJECTIVES describe nouns. Enormous describes size. Types of adjective: size (huge) colour (blue) texture (rough) number (three).,Word Classes
English,easy,Which sentence uses a CAPITAL LETTER correctly?,the dog barked.,The dog barked.,The Dog barked.,the Dog Barked.,The dog barked.,Capital letters begin sentences and proper nouns (names of people and places).,CAPITAL LETTERS: Start every sentence. Use for proper nouns (names/places). Days of week. Months. The word 'I'. Do NOT capitalise ordinary nouns.,Punctuation
English,easy,Choose the word that best completes the sentence: The cat sat ___ the mat.,in,on,under,beside,on,Think about where a cat most naturally sits in this common phrase.,PREPOSITIONS show position or direction: on (surface) in (inside) under (below) beside (next to) above (higher than) between (in the middle).,Prepositions
English,easy,Which word means the same as BIG?,Tiny,Small,Huge,Little,Huge,Think about a word that means very large in size.,SYNONYMS for BIG: Huge/Large/Enormous/Gigantic/Vast/Massive. Antonyms: Small/Tiny/Minute/Petite. Using varied vocabulary makes writing more interesting.,Synonyms
English,easy,Which punctuation mark ends a question?,Full stop,Comma,Question mark,Exclamation mark,Question mark,Look at the end of a sentence that asks something — what mark does it use?,PUNCTUATION: Full stop (.) ends statements. Question mark (?) ends questions. Exclamation mark (!) shows strong feeling. Comma (,) separates items or clauses.,Punctuation
English,easy,What is the PLURAL of 'child'?,Childs,Childes,Children,Childer,Children,This is an irregular plural — it does not simply add -s or -es.,IRREGULAR PLURALS do not follow normal rules: child→children / mouse→mice / tooth→teeth / foot→feet / goose→geese / ox→oxen.,Grammar
English,easy,Which word is a VERB (action word)?,Beautiful,Swim,Quickly,Happiness,Swim,A verb is a doing word — it describes an action or state.,VERBS describe actions (swim run think) or states (is was seems). Every sentence needs a verb. Tenses: swim (present) swam (past) will swim (future).,Word Classes
English,easy,Choose the correct word: There are ___ apples in the bowl.,to,two,too,tow,two,This word is the number — not the direction word or the 'also' word.,HOMOPHONES sound the same but have different spellings and meanings: to (direction/infinitive) / two (the number 2) / too (also/excessively).,Homophones
English,easy,Which word means the same as SMALL?,Minute,Enormous,Vast,Gigantic,Minute,Think of the tiniest possible size.,SYNONYMS for SMALL: Tiny/Minute/Petite/Miniature/Slight/Little. 'Minute' (as an adjective) means extremely small — pronounced my-NEWT.,Synonyms
English,easy,A word that describes a noun is called a...?,Verb,Adverb,Adjective,Pronoun,Adjective,It is the 'describing word' — it adds detail to a naming word.,WORD CLASSES: Noun (naming word) / Verb (action word) / Adjective (describing noun) / Adverb (describing verb) / Pronoun (replaces noun).,Word Classes
English,easy,Which word has the same meaning as ANGRY?,Calm,Furious,Happy,Bored,Furious,Think of a strong feeling — almost like a fire inside.,SYNONYMS for ANGRY: Furious/Cross/Irate/Livid/Enraged/Annoyed. Choosing precise synonyms makes writing more vivid and powerful.,Synonyms
English,medium,Choose the word closest in meaning to ANCIENT.,Modern,New,Old,Fresh,Old,Think about something that has existed for a very long time.,ANCIENT means extremely old — usually thousands of years. Synonyms: Old/Aged/Antique/Archaic/Prehistoric. Antonyms: Modern/Contemporary/Recent.,Synonyms
English,medium,Which sentence contains a SIMILE?,The dog is very fast.,The dog ran like the wind.,The speedy dog ran far.,The dog flew down the road.,The dog ran like the wind.,A simile compares two things using 'like' or 'as'.,SIMILE uses 'like' or 'as': fast as lightning / ran like the wind. METAPHOR says something IS something else: He is a lion. Both are figures of speech.,Figurative Language
English,medium,Choose the word closest in meaning to DAMP.,Dry,Moist,Burning,Freezing,Moist,Think of something slightly wet — not soaking but not dry either.,DAMP means slightly wet. Synonyms: Moist/Humid/Soggy/Clammy. Antonyms: Dry/Arid/Parched. Precise vocabulary avoids repetition in writing.,Synonyms
English,medium,Which word correctly completes: She ___ to school every day.,go,goes,gone,going,goes,The subject is 'she' — a singular third-person pronoun. Which verb form matches?,SUBJECT-VERB AGREEMENT: With he/she/it (third person singular) add -s or -es: She goes / He runs / It works. With I/you/we/they: no -s added.,Grammar
English,medium,Where should the APOSTROPHE go: The girls book is on the table.,The girl's book is on the table.,The girls' book is on the table.,The girls book's is on the table.,The girls's book is on the table.,The girls' book is on the table.,One girl or many? The sentence says 'the girl' not 'the girls' — so it is one girl.,APOSTROPHES for possession: singular owner → girl's (one girl) / plural owner → girls' (multiple girls). Apostrophes also show omission: don't = do not.,Punctuation
English,medium,Which word means the OPPOSITE of COURAGEOUS?,Brave,Fearless,Cowardly,Bold,Cowardly,What word describes someone who runs away from danger because they are afraid?,ANTONYMS for COURAGEOUS: Cowardly/Timid/Fearful/Craven. Synonyms: Brave/Bold/Fearless/Heroic/Valiant/Dauntless. Knowing word families boosts vocabulary.,Antonyms
English,medium,Choose the word closest in meaning to PECULIAR.,Normal,Ordinary,Strange,Common,Strange,Think about something that stands out because it is different from expected.,PECULIAR means unusual or strange. Synonyms: Odd/Bizarre/Eccentric/Curious/Unusual. Antonyms: Normal/Ordinary/Typical/Common/Conventional.,Synonyms
English,medium,Which literary device is used: 'The wind whispered through the trees'?,Simile,Alliteration,Personification,Rhyme,Personification,The wind is being given a human action — something only people can do.,PERSONIFICATION gives human qualities to non-human things: wind whispers / sun smiles / trees dance. Different from simile (uses like/as) and metaphor (is something).,Figurative Language
English,medium,Which word is an ADVERB in: 'She sang beautifully'?,She,sang,beautifully,the,beautifully,An adverb describes HOW something was done. Look for the -ly ending.,ADVERBS modify verbs (beautifully) adjectives (very tall) or other adverbs (quite slowly). Many end in -ly. Adverbs tell us HOW WHEN WHERE or HOW MUCH.,Word Classes
English,medium,Choose the correct form: I should have ___ that book.,buyed,boughted,bought,buy,bought,This is an irregular past tense verb — it doesn't follow the normal -ed rule.,IRREGULAR PAST TENSE VERBS: buy→bought / think→thought / bring→brought / catch→caught / teach→taught / fight→fought. These must be memorised.,Grammar
English,medium,Which sentence contains ALLITERATION?,Peter ran to the park.,Peter's pretty parrot pecked.,The bird flew away quickly.,She sold seashells yesterday.,Peter's pretty parrot pecked.,Alliteration is when words close together begin with the same sound.,ALLITERATION: repetition of the same initial consonant sound: Peter's pretty parrot pecked. Used in poetry headlines and advertising for rhythm and effect.,Figurative Language
English,hard,Choose the word closest in meaning to LOQUACIOUS.,Silent,Talkative,Intelligent,Careful,Talkative,Think about someone who talks a great deal and finds it hard to stop.,LOQUACIOUS (adj) from Latin 'loqui' (to speak). Means very talkative. Synonyms: Garrulous/Verbose/Voluble/Chatty. Antonyms: Taciturn/Reticent/Reserved/Quiet.,Synonyms
English,hard,Which sentence uses a COLON correctly?,I need: to go home.,The result was clear: she had won.,She was tired: and hungry.,He ran: very fast today.,The result was clear: she had won.,A colon introduces something — it says 'here it comes'. Check what follows it.,COLONS (:) introduce: a list / an explanation / a quotation / a conclusion. The part before the colon must be a complete sentence. Semicolons (;) join two related independent clauses.,Punctuation
English,hard,Choose the word closest in meaning to MELANCHOLY.,Joyful,Cheerful,Sadness,Excited,Sadness,This word describes a deep lingering feeling — not sharp anger but a quieter heavy emotion.,MELANCHOLY (n/adj) means deep pensive sadness. Synonyms: Sorrow/Despondency/Gloom/Wistfulness. Antonyms: Elation/Euphoria/Joy/Exuberance.,Synonyms
English,hard,Which sentence uses the SEMICOLON correctly?,I love reading; but not maths.,She ran fast; she still missed the bus.,He ate; quickly and then left.,The dog; barked loudly at night.,She ran fast; she still missed the bus.,A semicolon joins two COMPLETE sentences that are closely related. Both sides must stand alone.,SEMICOLONS join two independent clauses (complete sentences): She ran fast; she still missed the bus. NEVER use before conjunctions (but/and/or) — use a comma instead.,Punctuation
English,hard,What is the meaning of the prefix 'BENE-' in the word BENEVOLENT?,Against,Bad,Well/Good,Under,Well/Good,Latin prefixes carry meaning. Think of a 'benefactor' — someone who does good things for others.,LATIN PREFIXES: bene- (well/good): benefit benevolent benefactor. mal- (bad): malevolent malicious. sub- (under): submarine. super- (above): superhuman.,Vocabulary Roots
English,hard,Choose the word closest in meaning to TENACIOUS.,Weak,Giving-up,Stubborn/Persistent,Gentle,Stubborn/Persistent,This word describes a quality of holding on firmly and not letting go even under pressure.,TENACIOUS (adj) from Latin 'tenere' (to hold). Means very persistent and determined. Synonyms: Persistent/Resolute/Dogged/Stubborn/Determined. Antonyms: Weak/Yielding.,Synonyms
English,hard,"Which word best completes: The explorer's ___ spirit led her to discover new lands.",timid,tenacious,lazy,cautious,tenacious,The explorer discovers new lands — which adjective fits someone who keeps going despite challenges?,Context clues: 'discover new lands' tells us the explorer perseveres and pushes forward. TENACIOUS (persistent/determined) matches. TIMID (fearful) and LAZY are contradictory.,Vocabulary in Context
English,hard,What literary device is: 'Life is a journey'?,Simile,Alliteration,Metaphor,Personification,Metaphor,This compares two things without using 'like' or 'as' — it says one thing IS another.,METAPHOR: states one thing IS another (Life is a journey). SIMILE: uses like/as (Life is like a journey). Metaphors create stronger direct comparisons.,Figurative Language
English,hard,Choose the word closest in meaning to VERBOSE.,Brief,Concise,Wordy,Quiet,Wordy,This word describes a style of speaking or writing — think of someone who uses far more words than needed.,VERBOSE (adj) means using more words than necessary; long-winded. Related to LOQUACIOUS. Synonyms: Wordy/Rambling/Prolix. Antonyms: Concise/Brief/Succinct/Terse.,Synonyms
English,hard,Which sentence is written in the PASSIVE VOICE?,The cat chased the mouse.,The mouse was chased by the cat.,The mouse ran fast.,The cat ran quickly after the mouse.,The mouse was chased by the cat.,In passive voice the subject receives the action rather than performing it. Look for 'was/were + past participle'.,ACTIVE VOICE: subject does the action (The cat chased the mouse). PASSIVE VOICE: subject receives the action (The mouse was chased by the cat). Passive uses was/were + past participle.,Grammar
English,hard,"Choose the word that fits: Her ___ manner made everyone feel uncomfortable and unwelcome.",warm,welcoming,brusque,cheerful,brusque,The sentence says people felt uncomfortable — what word describes an abrupt unfriendly manner?,BRUSQUE (adj) means abrupt/blunt to the point of rudeness. From French 'brusque' (lively/fierce). Synonyms: Curt/Abrupt/Blunt. Antonyms: Warm/Cordial/Gracious.,Vocabulary in Context
English,hard,What does the word AMBIGUOUS mean?,Clear and obvious,Having two or more possible meanings,Extremely boring,Easily understood,Having two or more possible meanings,The prefix 'ambi-' means 'both' — think ambidextrous (using both hands).,AMBIGUOUS: having more than one possible meaning; unclear. From Latin 'ambigere' (to wander about). Antonyms: Clear/Unambiguous/Explicit. AMBIDEXTROUS: able to use both hands.,Vocabulary Roots
English,hard,Which word closest means EPHEMERAL?,Permanent,Lasting,Short-lived,Eternal,Short-lived,Think of something like a mayfly or a shooting star — beautiful but very briefly present.,EPHEMERAL (adj): lasting for a very short time. From Greek 'ephemeros' (lasting a day). Synonyms: Fleeting/Transient/Momentary/Transitory. Antonyms: Permanent/Eternal/Enduring.,Synonyms
