Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
Maths,easy,What is 7 × 8?,54,56,63,64,56,Count up in 7s: 7 14 21 28 35 42 49 56 — or think 7 × 8 = 7 × 4 × 2 = 28 × 2.,TIMES TABLES: 7×8=56. Trick: 5 6 7 8 → 56 = 7×8. Learn tables by grouping: 7×8 = (7×10)−(7×2) = 70−14 = 56.,Times Tables
Maths,easy,What is 15% of 80?,8,10,12,15,12,Find 10% first (=8) then find 5% (half of 10%) then add together.,PERCENTAGES: 10% of 80 = 8. 5% of 80 = 4. 15% = 10% + 5% = 8 + 4 = 12. OR: 80 × 0.15 = 12. The build-up method works best mentally.,Percentages
Maths,easy,What is half of 64?,28,30,32,34,32,Halving means dividing by 2. Split 64 into 60 and 4 — halve each part.,HALVING: 64 ÷ 2 = 32. Split method: 60÷2=30 and 4÷2=2 → 30+2=32. Doubling and halving are inverse operations.,Division
Maths,easy,"What is the next number in the sequence: 5, 10, 15, 20, ___?",22,25,24,30,25,This sequence goes up by the same amount each time. What is the rule?,NUMBER SEQUENCES: 5 10 15 20 25 — adding 5 each time (multiples of 5). Finding the rule: check the difference between consecutive terms.,Number Sequences
Maths,easy,What is 3/4 as a percentage?,50%,60%,70%,75%,75%,Think: 1/4 = 25% so 3/4 = 3 × 25%.,FRACTIONS TO PERCENTAGES: 1/4 = 25% → 3/4 = 75%. Key fractions: 1/2=50% / 1/4=25% / 3/4=75% / 1/5=20% / 1/10=10%.,Fractions
Maths,easy,A rectangle has length 8cm and width 5cm. What is its perimeter?,26cm,40cm,30cm,13cm,26cm,Perimeter means ALL the way around. A rectangle has 2 lengths and 2 widths.,PERIMETER of rectangle = 2 × (length + width) = 2 × (8 + 5) = 2 × 13 = 26cm. OR add all four sides: 8+5+8+5=26.,Perimeter
Maths,easy,"What is 144 ÷ 12?",11,12,13,14,12,Think: 12 × ? = 144. Count up in 12s or use 12 × 10 = 120 then add 12s.,DIVISION: 144 ÷ 12 = 12. Check: 12 × 12 = 144 ✓. Method: 12×10=120 then 144−120=24 → 24÷12=2 → answer: 10+2=12.,Division
Maths,easy,"What fraction of 40 is 10?",1/2,1/4,1/5,1/8,1/4,Ask: 10 is what part of 40? Write it as a fraction and simplify.,FRACTIONS OF AMOUNTS: 10/40 = 1/4. Method: write part/whole then simplify. 10÷10 = 1 and 40÷10 = 4 → 1/4.,Fractions
Maths,easy,What is the value of 6²?,12,24,36,42,36,6² means 6 × 6 — not 6 × 2.,SQUARE NUMBERS: n² = n × n. 6² = 6×6 = 36. First 10 squares: 1 4 9 16 25 36 49 64 81 100. Square numbers have an odd number of factors.,Square Numbers
Maths,easy,"Round 347 to the nearest 100.",300,350,400,200,300,Look at the tens digit (4). If it is less than 5 round down — stay at 300.,ROUNDING: To nearest 100 — look at the TENS digit. Under 5 → round down. 5 or above → round up. 347: tens digit = 4 → round down → 300.,Rounding
Maths,easy,"What is 12 × 9?",98,100,108,106,108,Use 12 × 10 = 120 then subtract one group of 12.,MULTIPLICATION STRATEGY: 12×9 = 12×10 − 12×1 = 120 − 12 = 108. The 'near ten' method works for × 9 and × 11.,Times Tables
Maths,easy,A bag has 3 red and 7 blue balls. What fraction are red?,3/7,3/10,7/10,1/3,3/10,The fraction is red balls out of total balls. How many balls are there altogether?,FRACTIONS: Total balls = 3+7 = 10. Red fraction = 3/10. PART/WHOLE: Always use the total as the denominator when finding a fraction of a group.,Fractions
Maths,easy,"What is 500 − 237?",273,263,267,253,263,Try counting up from 237 to 500 or subtract in stages: 500−200=300 then 300−37=263.,SUBTRACTION STRATEGIES: 500−237 = 500−200−37 = 300−37 = 263. Or count up: 237→300 (63) → 500 (200) → total 263.,Subtraction
Maths,easy,Which is the largest fraction: 1/2 or 3/8 or 2/5 or 7/20?,3/8,2/5,7/20,1/2,1/2,Convert all fractions to the same denominator (20) to compare them fairly.,COMPARING FRACTIONS: Convert to common denominator 20: 1/2=10/20 / 3/8=7.5/20 / 2/5=8/20 / 7/20. Largest = 10/20 = 1/2.,Fractions
Maths,easy,"What is the area of a rectangle 6cm long and 4cm wide?",10cm²,20cm²,24cm²,28cm²,24cm²,Area means the space inside. Use length × width.,AREA of rectangle = length × width = 6 × 4 = 24cm². PERIMETER (around edge) = 2×(6+4) = 20cm. Area is measured in square units (cm²).,Area
Maths,medium,A train travels 240km in 3 hours. How far in 5 hours at the same speed?,360km,400km,420km,480km,400km,Find the speed per hour first (distance ÷ time) then multiply by 5.,SPEED = DISTANCE ÷ TIME. 240÷3 = 80km/h. Distance in 5hrs = 80×5 = 400km. Formula triangle: D=S×T / S=D÷T / T=D÷S.,Speed Distance Time
Maths,medium,A shop reduces a £60 jacket by 30%. What is the sale price?,£18,£42,£48,£30,£42,Find 30% of £60 then subtract it from the original price.,PERCENTAGE DISCOUNT: 30% of £60 = £18. Sale price = £60 − £18 = £42. OR: 100%−30%=70% of £60 = 0.7×60 = £42.,Percentages
Maths,medium,"Share £120 between A and B in the ratio 3:5. How much does A receive?",£40,£45,£50,£72,£45,Find the total parts first then work out the value of one part.,RATIO: 3+5=8 parts total. Value of 1 part = £120÷8 = £15. A gets 3 parts = 3×£15 = £45. B gets 5×£15 = £75. Check: 45+75=120 ✓,Ratio
Maths,medium,"What is the area of a triangle with base 10cm and height 6cm?",60cm²,30cm²,16cm²,20cm²,30cm²,The formula for triangle area involves base and height — but remember the special fraction in the formula.,AREA OF TRIANGLE = ½ × base × height = ½ × 10 × 6 = 30cm². Always halve the base × height. This works for ALL triangles when you use the perpendicular height.,Area
Maths,medium,"Solve: 3x + 7 = 22. What is x?",4,5,6,7,5,The goal is to get x alone. Undo the +7 first then undo the ×3.,SOLVING EQUATIONS: 3x+7=22 → subtract 7 from both sides: 3x=15 → divide both sides by 3: x=5. Always do the same to both sides.,Algebra
Maths,medium,What is the mean of 4 7 2 9 and 3?,4,5,6,7,5,Mean = total sum divided by how many numbers there are.,MEAN (average) = sum ÷ count. 4+7+2+9+3=25. 25÷5=5. MEDIAN = middle value (sort first: 2 3 4 7 9 → median=4). MODE = most frequent.,Averages
Maths,medium,"What are the interior angles of a triangle?",90°,180°,270°,360°,180°,Think of a triangle being 'unrolled' into a straight line — a straight line is how many degrees?,ANGLES IN SHAPES: Triangle = 180°. Quadrilateral = 360°. Pentagon = 540°. Rule: (n−2)×180° where n = number of sides.,Angles
Maths,medium,"If a car travels at 60mph, how long does it take to travel 90 miles?",1 hour,1.5 hours,2 hours,45 mins,1.5 hours,Use the formula: Time = Distance ÷ Speed,TIME = DISTANCE ÷ SPEED = 90 ÷ 60 = 1.5 hours = 1 hour 30 minutes. 0.5 hours = 30 minutes.,Speed Distance Time
