Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
English,easy,Which word means the same as HAPPY?,Sad,Joyful,Angry,Tired,Joyful,Think about a feeling that is positive and bright.,SYNONYMS are words with similar meanings. HAPPY = Joyful/Cheerful/Delighted/Content. Antonyms (opposites) include Sad/Miserable/Unhappy.,Synonyms
English,easy,Which word means the OPPOSITE of FAST?,Quick,Speedy,Slow,Swift,Slow,The opposite word should describe something that does not move quickly.,ANTONYMS are words with opposite meanings. FAST opposites: Slow/Sluggish/Gradual. Fast synonyms: Quick/Swift/Rapid/Speedy.,Antonyms
English,easy,Which word is a NOUN?,Run,Blue,Happiness,Quickly,Happiness,A noun is a naming word — a person place or thing or feeling.,NOUNS name people (teacher) places (London) things (book) or ideas/feelings (happiness). VERBS are action words. ADJECTIVES describe nouns.,Word Classes
English,easy,Choose the correct spelling.,Freind,Friend,Freind,Frend,Friend,Remember the rule: i before e except after c.,SPELLING RULE: 'i before e except after c' — Friend (i before e). Exceptions: weird receive ceiling. Always check: does it look right?,Spelling
English,easy,Which word is an ADJECTIVE?,Swim,Quickly,Enormous,Ran,Enormous,An adjective is a describing word — it tells you more about a noun.,ADJECTIVES describe nouns. Enormous describes size. Types of adjective: size (huge) colour (blue) texture (rough) number (three).,Word Classes
English,easy,Which sentence uses a CAPITAL LETTER correctly?,the dog barked.,The dog barked.,The Dog barked.,the Dog Barked.,The dog barked.,Capital letters begin sentences and proper nouns (names of people and places).,CAPITAL LETTERS: Start every sentence. Use for proper nouns (names/places). Days of week. Months. The word 'I'. Do NOT capitalise ordinary nouns.,Punctuation
English,easy,Choose the word that best completes the sentence: The cat sat ___ the mat.,in,on,under,beside,on,Think about where a cat most naturally sits in this common phrase.,PREPOSITIONS show position or direction: on (surface) in (inside) under (below) beside (next to) above (higher than) between (in the middle).,Prepositions
English,easy,Which word means the same as BIG?,Tiny,Small,Huge,Little,Huge,Think about a word that means very large in size.,SYNONYMS for BIG: Huge/Large/Enormous/Gigantic/Vast/Massive. Antonyms: Small/Tiny/Minute/Petite. Using varied vocabulary makes writing more interesting.,Synonyms
English,easy,Which punctuation mark ends a question?,Full stop,Comma,Question mark,Exclamation mark,Question mark,Look at the end of a sentence that asks something — what mark does it use?,PUNCTUATION: Full stop (.) ends statements. Question mark (?) ends questions. Exclamation mark (!) shows strong feeling. Comma (,) separates items or clauses.,Punctuation
English,easy,What is the PLURAL of 'child'?,Childs,Childes,Children,Childer,Children,This is an irregular plural — it does not simply add -s or -es.,IRREGULAR PLURALS do not follow normal rules: child→children / mouse→mice / tooth→teeth / foot→feet / goose→geese / ox→oxen.,Grammar
English,easy,Which word is a VERB (action word)?,Beautiful,Swim,Quickly,Happiness,Swim,A verb is a doing word — it describes an action or state.,VERBS describe actions (swim run think) or states (is was seems). Every sentence needs a verb. Tenses: swim (present) swam (past) will swim (future).,Word Classes
English,easy,Choose the correct word: There are ___ apples in the bowl.,to,two,too,tow,two,This word is the number — not the direction word or the 'also' word.,HOMOPHONES sound the same but have different spellings and meanings: to (direction/infinitive) / two (the number 2) / too (also/excessively).,Homophones
English,easy,Which word means the same as SMALL?,Minute,Enormous,Vast,Gigantic,Minute,Think of the tiniest possible size.,SYNONYMS for SMALL: Tiny/Minute/Petite/Miniature/Slight/Little. 'Minute' (as an adjective) means extremely small — pronounced my-NEWT.,Synonyms
English,easy,A word that describes a noun is called a...?,Verb,Adverb,Adjective,Pronoun,Adjective,It is the 'describing word' — it adds detail to a naming word.,WORD CLASSES: Noun (naming word) / Verb (action word) / Adjective (describing noun) / Adverb (describing verb) / Pronoun (replaces noun).,Word Classes
English,easy,Which word has the same meaning as ANGRY?,Calm,Furious,Happy,Bored,Furious,Think of a strong feeling — almost like a fire inside.,SYNONYMS for ANGRY: Furious/Cross/Irate/Livid/Enraged/Annoyed. Choosing precise synonyms makes writing more vivid and powerful.,Synonyms
English,medium,Choose the word closest in meaning to ANCIENT.,Modern,New,Old,Fresh,Old,Think about something that has existed for a very long time.,ANCIENT means extremely old — usually thousands of years. Synonyms: Old/Aged/Antique/Archaic/Prehistoric. Antonyms: Modern/Contemporary/Recent.,Synonyms
English,medium,Which sentence contains a SIMILE?,The dog is very fast.,The dog ran like the wind.,The speedy dog ran far.,The dog flew down the road.,The dog ran like the wind.,A simile compares two things using 'like' or 'as'.,SIMILE uses 'like' or 'as': fast as lightning / ran like the wind. METAPHOR says something IS something else: He is a lion. Both are figures of speech.,Figurative Language
English,medium,Choose the word closest in meaning to DAMP.,Dry,Moist,Burning,Freezing,Moist,Think of something slightly wet — not soaking but not dry either.,DAMP means slightly wet. Synonyms: Moist/Humid/Soggy/Clammy. Antonyms: Dry/Arid/Parched. Precise vocabulary avoids repetition in writing.,Synonyms
English,medium,Which word correctly completes: She ___ to school every day.,go,goes,gone,going,goes,The subject is 'she' — a singular third-person pronoun. Which verb form matches?,SUBJECT-VERB AGREEMENT: With he/she/it (third person singular) add -s or -es: She goes / He runs / It works. With I/you/we/they: no -s added.,Grammar
English,medium,Where should the APOSTROPHE go: The girls book is on the table.,The girl's book is on the table.,The girls' book is on the table.,The girls book's is on the table.,The girls's book is on the table.,The girls' book is on the table.,One girl or many? The sentence says 'the girl' not 'the girls' — so it is one girl.,APOSTROPHES for possession: singular owner → girl's (one girl) / plural owner → girls' (multiple girls). Apostrophes also show omission: don't = do not.,Punctuation
English,medium,Which word means the OPPOSITE of COURAGEOUS?,Brave,Fearless,Cowardly,Bold,Cowardly,What word describes someone who runs away from danger because they are afraid?,ANTONYMS for COURAGEOUS: Cowardly/Timid/Fearful/Craven. Synonyms: Brave/Bold/Fearless/Heroic/Valiant/Dauntless. Knowing word families boosts vocabulary.,Antonyms
English,medium,Choose the word closest in meaning to PECULIAR.,Normal,Ordinary,Strange,Common,Strange,Think about something that stands out because it is different from expected.,PECULIAR means unusual or strange. Synonyms: Odd/Bizarre/Eccentric/Curious/Unusual. Antonyms: Normal/Ordinary/Typical/Common/Conventional.,Synonyms
English,medium,Which literary device is used: 'The wind whispered through the trees'?,Simile,Alliteration,Personification,Rhyme,Personification,The wind is being given a human action — something only people can do.,PERSONIFICATION gives human qualities to non-human things: wind whispers / sun smiles / trees dance. Different from simile (uses like/as) and metaphor (is something).,Figurative Language
English,medium,Which word is an ADVERB in: 'She sang beautifully'?,She,sang,beautifully,the,beautifully,An adverb describes HOW something was done. Look for the -ly ending.,ADVERBS modify verbs (beautifully) adjectives (very tall) or other adverbs (quite slowly). Many end in -ly. Adverbs tell us HOW WHEN WHERE or HOW MUCH.,Word Classes
English,medium,Choose the correct form: I should have ___ that book.,buyed,boughted,bought,buy,bought,This is an irregular past tense verb — it doesn't follow the normal -ed rule.,IRREGULAR PAST TENSE VERBS: buy→bought / think→thought / bring→brought / catch→caught / teach→taught / fight→fought. These must be memorised.,Grammar
English,medium,Which sentence contains ALLITERATION?,Peter ran to the park.,Peter's pretty parrot pecked.,The bird flew away quickly.,She sold seashells yesterday.,Peter's pretty parrot pecked.,Alliteration is when words close together begin with the same sound.,ALLITERATION: repetition of the same initial consonant sound: Peter's pretty parrot pecked. Used in poetry headlines and advertising for rhythm and effect.,Figurative Language
English,hard,Choose the word closest in meaning to LOQUACIOUS.,Silent,Talkative,Intelligent,Careful,Talkative,Think about someone who talks a great deal and finds it hard to stop.,LOQUACIOUS (adj) from Latin 'loqui' (to speak). Means very talkative. Synonyms: Garrulous/Verbose/Voluble/Chatty. Antonyms: Taciturn/Reticent/Reserved/Quiet.,Synonyms
English,hard,Which sentence uses a COLON correctly?,I need: to go home.,The result was clear: she had won.,She was tired: and hungry.,He ran: very fast today.,The result was clear: she had won.,A colon introduces something — it says 'here it comes'. Check what follows it.,COLONS (:) introduce: a list / an explanation / a quotation / a conclusion. The part before the colon must be a complete sentence. Semicolons (;) join two related independent clauses.,Punctuation
English,hard,Choose the word closest in meaning to MELANCHOLY.,Joyful,Cheerful,Sadness,Excited,Sadness,This word describes a deep lingering feeling — not sharp anger but a quieter heavy emotion.,MELANCHOLY (n/adj) means deep pensive sadness. Synonyms: Sorrow/Despondency/Gloom/Wistfulness. Antonyms: Elation/Euphoria/Joy/Exuberance.,Synonyms
English,hard,Which sentence uses the SEMICOLON correctly?,I love reading; but not maths.,She ran fast; she still missed the bus.,He ate; quickly and then left.,The dog; barked loudly at night.,She ran fast; she still missed the bus.,A semicolon joins two COMPLETE sentences that are closely related. Both sides must stand alone.,SEMICOLONS join two independent clauses (complete sentences): She ran fast; she still missed the bus. NEVER use before conjunctions (but/and/or) — use a comma instead.,Punctuation
English,hard,What is the meaning of the prefix 'BENE-' in the word BENEVOLENT?,Against,Bad,Well/Good,Under,Well/Good,Latin prefixes carry meaning. Think of a 'benefactor' — someone who does good things for others.,LATIN PREFIXES: bene- (well/good): benefit benevolent benefactor. mal- (bad): malevolent malicious. sub- (under): submarine. super- (above): superhuman.,Vocabulary Roots
English,hard,Choose the word closest in meaning to TENACIOUS.,Weak,Giving-up,Stubborn/Persistent,Gentle,Stubborn/Persistent,This word describes a quality of holding on firmly and not letting go even under pressure.,TENACIOUS (adj) from Latin 'tenere' (to hold). Means very persistent and determined. Synonyms: Persistent/Resolute/Dogged/Stubborn/Determined. Antonyms: Weak/Yielding.,Synonyms
English,hard,"Which word best completes: The explorer's ___ spirit led her to discover new lands.",timid,tenacious,lazy,cautious,tenacious,The explorer discovers new lands — which adjective fits someone who keeps going despite challenges?,Context clues: 'discover new lands' tells us the explorer perseveres and pushes forward. TENACIOUS (persistent/determined) matches. TIMID (fearful) and LAZY are contradictory.,Vocabulary in Context
English,hard,What literary device is: 'Life is a journey'?,Simile,Alliteration,Metaphor,Personification,Metaphor,This compares two things without using 'like' or 'as' — it says one thing IS another.,METAPHOR: states one thing IS another (Life is a journey). SIMILE: uses like/as (Life is like a journey). Metaphors create stronger direct comparisons.,Figurative Language
English,hard,Choose the word closest in meaning to VERBOSE.,Brief,Concise,Wordy,Quiet,Wordy,This word describes a style of speaking or writing — think of someone who uses far more words than needed.,VERBOSE (adj) means using more words than necessary; long-winded. Related to LOQUACIOUS. Synonyms: Wordy/Rambling/Prolix. Antonyms: Concise/Brief/Succinct/Terse.,Synonyms
English,hard,Which sentence is written in the PASSIVE VOICE?,The cat chased the mouse.,The mouse was chased by the cat.,The mouse ran fast.,The cat ran quickly after the mouse.,The mouse was chased by the cat.,In passive voice the subject receives the action rather than performing it. Look for 'was/were + past participle'.,ACTIVE VOICE: subject does the action (The cat chased the mouse). PASSIVE VOICE: subject receives the action (The mouse was chased by the cat). Passive uses was/were + past participle.,Grammar
English,hard,"Choose the word that fits: Her ___ manner made everyone feel uncomfortable and unwelcome.",warm,welcoming,brusque,cheerful,brusque,The sentence says people felt uncomfortable — what word describes an abrupt unfriendly manner?,BRUSQUE (adj) means abrupt/blunt to the point of rudeness. From French 'brusque' (lively/fierce). Synonyms: Curt/Abrupt/Blunt. Antonyms: Warm/Cordial/Gracious.,Vocabulary in Context
English,hard,What does the word AMBIGUOUS mean?,Clear and obvious,Having two or more possible meanings,Extremely boring,Easily understood,Having two or more possible meanings,The prefix 'ambi-' means 'both' — think ambidextrous (using both hands).,AMBIGUOUS: having more than one possible meaning; unclear. From Latin 'ambigere' (to wander about). Antonyms: Clear/Unambiguous/Explicit. AMBIDEXTROUS: able to use both hands.,Vocabulary Roots
English,hard,Which word closest means EPHEMERAL?,Permanent,Lasting,Short-lived,Eternal,Short-lived,Think of something like a mayfly or a shooting star — beautiful but very briefly present.,EPHEMERAL (adj): lasting for a very short time. From Greek 'ephemeros' (lasting a day). Synonyms: Fleeting/Transient/Momentary/Transitory. Antonyms: Permanent/Eternal/Enduring.,Synonyms
Maths,easy,What is 7 × 8?,54,56,63,64,56,Count up in 7s: 7 14 21 28 35 42 49 56 — or think 7 × 8 = 7 × 4 × 2 = 28 × 2.,TIMES TABLES: 7×8=56. Trick: 5 6 7 8 → 56 = 7×8. Learn tables by grouping: 7×8 = (7×10)−(7×2) = 70−14 = 56.,Times Tables
Maths,easy,What is 15% of 80?,8,10,12,15,12,Find 10% first (=8) then find 5% (half of 10%) then add together.,PERCENTAGES: 10% of 80 = 8. 5% of 80 = 4. 15% = 10% + 5% = 8 + 4 = 12. OR: 80 × 0.15 = 12. The build-up method works best mentally.,Percentages
Maths,easy,What is half of 64?,28,30,32,34,32,Halving means dividing by 2. Split 64 into 60 and 4 — halve each part.,HALVING: 64 ÷ 2 = 32. Split method: 60÷2=30 and 4÷2=2 → 30+2=32. Doubling and halving are inverse operations.,Division
Maths,easy,"What is the next number in the sequence: 5, 10, 15, 20, ___?",22,25,24,30,25,This sequence goes up by the same amount each time. What is the rule?,NUMBER SEQUENCES: 5 10 15 20 25 — adding 5 each time (multiples of 5). Finding the rule: check the difference between consecutive terms.,Number Sequences
Maths,easy,What is 3/4 as a percentage?,50%,60%,70%,75%,75%,Think: 1/4 = 25% so 3/4 = 3 × 25%.,FRACTIONS TO PERCENTAGES: 1/4 = 25% → 3/4 = 75%. Key fractions: 1/2=50% / 1/4=25% / 3/4=75% / 1/5=20% / 1/10=10%.,Fractions
Maths,easy,A rectangle has length 8cm and width 5cm. What is its perimeter?,26cm,40cm,30cm,13cm,26cm,Perimeter means ALL the way around. A rectangle has 2 lengths and 2 widths.,PERIMETER of rectangle = 2 × (length + width) = 2 × (8 + 5) = 2 × 13 = 26cm. OR add all four sides: 8+5+8+5=26.,Perimeter
Maths,easy,"What is 144 ÷ 12?",11,12,13,14,12,Think: 12 × ? = 144. Count up in 12s or use 12 × 10 = 120 then add 12s.,DIVISION: 144 ÷ 12 = 12. Check: 12 × 12 = 144 ✓. Method: 12×10=120 then 144−120=24 → 24÷12=2 → answer: 10+2=12.,Division
Maths,easy,"What fraction of 40 is 10?",1/2,1/4,1/5,1/8,1/4,Ask: 10 is what part of 40? Write it as a fraction and simplify.,FRACTIONS OF AMOUNTS: 10/40 = 1/4. Method: write part/whole then simplify. 10÷10 = 1 and 40÷10 = 4 → 1/4.,Fractions
Maths,easy,What is the value of 6²?,12,24,36,42,36,6² means 6 × 6 — not 6 × 2.,SQUARE NUMBERS: n² = n × n. 6² = 6×6 = 36. First 10 squares: 1 4 9 16 25 36 49 64 81 100. Square numbers have an odd number of factors.,Square Numbers
Maths,easy,"Round 347 to the nearest 100.",300,350,400,200,300,Look at the tens digit (4). If it is less than 5 round down — stay at 300.,ROUNDING: To nearest 100 — look at the TENS digit. Under 5 → round down. 5 or above → round up. 347: tens digit = 4 → round down → 300.,Rounding
Maths,easy,"What is 12 × 9?",98,100,108,106,108,Use 12 × 10 = 120 then subtract one group of 12.,MULTIPLICATION STRATEGY: 12×9 = 12×10 − 12×1 = 120 − 12 = 108. The 'near ten' method works for × 9 and × 11.,Times Tables
Maths,easy,A bag has 3 red and 7 blue balls. What fraction are red?,3/7,3/10,7/10,1/3,3/10,The fraction is red balls out of total balls. How many balls are there altogether?,FRACTIONS: Total balls = 3+7 = 10. Red fraction = 3/10. PART/WHOLE: Always use the total as the denominator when finding a fraction of a group.,Fractions
Maths,easy,"What is 500 − 237?",273,263,267,253,263,Try counting up from 237 to 500 or subtract in stages: 500−200=300 then 300−37=263.,SUBTRACTION STRATEGIES: 500−237 = 500−200−37 = 300−37 = 263. Or count up: 237→300 (63) → 500 (200) → total 263.,Subtraction
Maths,easy,Which is the largest fraction: 1/2 or 3/8 or 2/5 or 7/20?,3/8,2/5,7/20,1/2,1/2,Convert all fractions to the same denominator (20) to compare them fairly.,COMPARING FRACTIONS: Convert to common denominator 20: 1/2=10/20 / 3/8=7.5/20 / 2/5=8/20 / 7/20. Largest = 10/20 = 1/2.,Fractions
Maths,easy,"What is the area of a rectangle 6cm long and 4cm wide?",10cm²,20cm²,24cm²,28cm²,24cm²,Area means the space inside. Use length × width.,AREA of rectangle = length × width = 6 × 4 = 24cm². PERIMETER (around edge) = 2×(6+4) = 20cm. Area is measured in square units (cm²).,Area
Maths,medium,A train travels 240km in 3 hours. How far in 5 hours at the same speed?,360km,400km,420km,480km,400km,Find the speed per hour first (distance ÷ time) then multiply by 5.,SPEED = DISTANCE ÷ TIME. 240÷3 = 80km/h. Distance in 5hrs = 80×5 = 400km. Formula triangle: D=S×T / S=D÷T / T=D÷S.,Speed Distance Time
